english,korean
Quickly 2) kindly,어서
one’s children,자녀
"A subject, theme",제목
Something you do,짓
A judgment (from a judge),판결
August,팔월
White,하얗다
"Hope, wish",희망
Bag,가방
Troops or an army,군대
That much or to that extent,그만큼
What? 무엇,무어
For the first time,비로소
Conversation partner,상대방
Western Europe,서구
Possession,소유
Countryside,시골
A mistake,실수
To turn out wrong,잘못되다
"Medical treatment, medical care",치료
Width; range,폭
"A pen name, a title; a number, an issue",호
To Push out,내밀다
"Be struck, beaten",맞다
"A section, department",부문
Series,시리즈
Pregnant,임신
To be caught ; to extinguish a fire,잡히다
Provision or stipulation,규정
Gram,그램
"A field, farm",밭
To analyze,분석하다
"Members of a family, your immediate family members (those you live with, preferably)",식구
"From the very first, from the very beginning",아예
"How, in what way, by what means",어찌
To ring (a bell) ; to create an echo effect,울리다
"To apply , use",작용하다
"To be sure, certain",확실하다
Renovation or improvement or betterment,개선
A vessel or receptacle,그릇
A letter or a character,글자
"Be desirable, advisable, to be appropriate, good",바람직하다
"To research, investigate",연구하다
To be nice,착하다
A dog,개
Real estate,부동산
A myth,신화
Miss ~,양
"a spot, a blemish",점
"An occupation, calling",직업
Collect or gather up,거두다
School holidays,방학
"Range, area",범위
Ancestors,조상
Philosophy,철학
Black or dark,검다
Neighborhood or vicinity,곁
"foundational, fundamental",근본적
You guys,너희
"Large, full-sized",대형
The point at issue,문제점
Exemplary,본격적
Impossible,불가능하다
"An impact, a shock",충격
"Spread out, get broader",퍼지다
Just now or a moment ago,금방
South side,남쪽
Press or push down,누르다
"art, the fine arts",미술
The common people,백성
"fairly, considerably",상당히
Color,색깔
Cooking,요리
To be famous,유명하다
You,자네
1) energy 2) breath or wind,기13
Fairly or considerably,꽤
"A foreigner, a foreign national",외국인
"For some time, for a while",한참
Military affairs,군사
Cut off or sever,끊다
Cross or go over,넘어가다
Be put food in a bottle or for pickling,담기다
Garden,마당
A woman,부인
To hurry up,서두르다
"Pointing out, indication",지적
"One pair, one couple",짝
"really, indeed",참으로
"To be sufficient, ample",충분하다
To be happy,기쁘다
Homework,숙제
Have a distance ahead,앞두다
"An estimate, budget",예산
"All kinds, all sorts",온갖
"worry, anxiety, fear",우려
An umbrella,우산
Joy or delight,기쁨
Deepness,깊이
Decorate,꾸미다
"Increase, multiply",늘리다
A knee,무릎
Be discovered,발견되다
"protect, shelter, guard",보호하다
System,시스템
To use,이용
Last month,지난달
"Holler, yell, scream",지르다
Participation,참여
Walking or stepping or a step,걸음
Barely or narrowly. 간신히,겨우
Become dry,마르다
Comparatively,비교적
Make efforts/pains to do sth,애쓰다
"Be honest, straightforward",올바르다
On the desk,책상
To be cold,춥다
To be everywhere,흔하다
Become high,높아지다
Grow old,늙다
"A unit, a monad",단위
Heavy ; a stuffy atmosphere,무겁다
"As a result, by the influence of",바람
Imagination,상상
"An income, earnings",소득
"the capital city, e.g. Seoul, of a country",수도
"A part, a role",역
"recognition, cognizance",인식하다
A Chinese character,자
A bed,침대
A volume or a book,권
"form, tie",맺다
"demand, requirement",수요
Star,스타
"clock, timekeeper, timepiece",시계
The lips,입술
A leaf,잎
In the middle,중간
Leader,지도자
Slowly,천천히
To organize or makeup,구성하다
"Generally, on the whole, for the most part",대체로
Extremely,몹시
Suddenly,문득
Sports,스포츠
A chairman of a committee,위원장
"That place, there",저기
"To be special, extraordinary",특별하다
Effective,효과적
Close,가까이
Superior,낫다
Pass over,넘어서다
"fry, roast",볶다
"To produce, make",생산하다
"One of these days, at some time in the future",언젠가
An artist,예술가
"An intention, an aim",의도
"do,commit, spoil",저지르다
Dwindle away,줄어들다
Quietly or softly,가만히
A matter or an object or a case,건
Preach or moral instruction,교회
Daegu city,대구
"The exterior, the outside",외부
One or two,한두
"For a while, temporarily",한때
Anger (get angry),화
"earth, the soil",흙
Poor,가난하다
Customer,고객
Scientist,과학자
Sightseeing or tourism,관광
To come out alive,살아오다
"relatively, correlatively",상대적
Surgery,수술
Groceries,식품
"performance, acting",연기
January,일월
"article, clause",조
The first,첫째
A member of a society,회원
Library,도서관
To echo (sound),들려오다
"A little at a time, little by little",조금씩
"seasoning, condiment",조미료
To come loose,풀리다
To be strong or powerful,강력하다
Garlic,마늘
"A present,gift",선물
Habit,습관
"An aunt, a respectable word for a married, older woman",아주머니
Danger,위험
Underground,지하
"Utilize, make practical use of",활용하다
1) grow or cultivatea 2) dress oneself up,가꾸다
Worry or anguish,고민
"bare,naked",맨
"A law, statute",법률
Wound,상처
Narrow,좁다
Subway,지하철
Pick up,집다
"The present, the existence, actuality",현
Screen,화면
Mr.,군
Representative,대표적
"If, suppose",만일
Socially,사회적
"To begin, germinate",생겨나다
"vulgarity, slang",이어
A wife,주부
"A truth, a fact",진리
The sun,태양
No mistaking it,틀림없다
Professional,프로
To bloom ( a flower ~),피다
Supply or provision,공급
"A road, way",도로
"wrong, mistake",잘못
Carry (on the back),지다
"To fill up, complete, fulfill",채우다
Balance or equilibrium,균형
Fundamental or basic,기본적
A tribe,부족
Office,사무실
February,이월
Sunday,일요일
Proximity,접근
"Watch, stare at ( wait on some situation)",지켜보다
Individuality or personality,개성
"Hang, be suspended",달리다
Get worse,더하다
Collapse,무너지다
Usually,보통
To wear (a hat),쓰다
do/say think this way,이러다
"To rise to one’s feet, stand up",일어서다
"A crime, a sin",죄
In reality,참
"The president, the chancellor (university’s)",총장
"The kernel, the core",핵심
The latter/second half,후반
Simply,단순히
"Run, rush, dash",달려가다
A visit,방문
Dissatisfaction,불만
To be unpleasant,불편하다
"A sort, kind, species",종
Blood (is flowing),피
River,강
Spectator,관객
Just now,막
Millimeter,밀리미터
To be expensive,비싸다
"A figure, number",숫자
Heat,열
The left side,왼쪽
The middle ages,중세
Taxi,택시
"Unity, unification",통합
Calculation,계산
Tail,꼬리
To be surprising,놀랍다
"A mode, a style, an order, a modality",양식
"Old days, former days",예전
Electricity,전기
Stock,주식
"To be turned, warped 2) go wrong, be mistaken",틀리다
Constantly or unceasingly,끊임없이
Model,모델
"to pour (water, liquid)",붓다
Common sense,상식
"trademark, brand",상표
"Be cool, refreshing",시원하다
To be/do not,아니하다
"Be conscious of, be aware of",의식하다
A paternal aunt,고모
To wonder or be curious about,궁금하다
Democratization,민주화
"news, report",보도
Take a good look at,살피다
To be weak,약하다
To make a mistake,잘못하다
A magazine,잡지
Deny or reject or disapprove,거부하다
Public servant,공무원
Stop or discontinue,그만두다
You and your family,댁
Be happy,반갑다
"lack, want (scarcity, insufficiency)",부족
"execution, enforcement",실시
"fate, fortune",운명
"finances, economy",재정
"rather, preferably",차라리
Scholar,학자
Drop in for a short visit,다녀오다
"to attach, fix",달다
On a large scale,대규모
the same,동
"civil, private",민간
Court of justice,법원
Video,비디오
"Actually, in truth",사실상
"grudge, spare",아끼다
"This side, our way",이쪽
"Zone, belt, district",지대
To make a conclusion,판단하다
To be happy,행복하다
To roast or bake,굽다
Oil or fat,기름
"To practice, put in theory",실천하다
To pour out,쏟아지다
"practice, exercise",연습
The right side,오른쪽
Technical terminology,용어
Habituate oneself to,익히다
"Map, atlas",지도
"Position, status",지위
"To be abundant, copious, plentiful",풍부하다
Bathroom,화장실
To recall or remember,기억하다
"food, provisions",식량
"An experiment, test",실험
Bravery,용기
"A debate, discussion",토론
"A nucleus, core",핵
High rank or first class,고급
A hard life or privation,고생
Be crazy,미치다
Step on,밟다
"Be proper, suitable",상당하다
"blend, mix",섞다
The top seat,수석
"Remove, get rid of, do away with",없애다
To make something for a specific purpose,이뤄지다
Appropriateness,적절하다
"The top, summit",정상
A holiday ceremony,제사
Weekend,주말
"Wisdom, wits",지혜
A sparrow,참새
"Makup, cosmetics",화장품
Be thick or fat,굵다
Clean or neatly,깨끗이
Clear,낡다
Next year,내년
Agricultural products,농산물
Before one’s eyes,눈앞
University student,대학생
To visit,방문하다
"Be red, scalet",붉다
"thought, contemplation",사고
"system, order, sequence",순서
"Never on any account, no matter what",아무래도
A research institute,연구소
This year,올
"To be great, mighty, grand",위대하다
House-moving,이사
"Control, direct",지배하다
"A crack, gap, opening",틈
1) For example 2) supposing or admitting,가령
Huge or gigantic or enormous,거대하다
To close,닫다
"Be suspended, to be hanging down (from) ; to stick to a job, to persevere",매달리다
A birthday,생일
An island,섬
"Less than, below",이하
"To attend, take part in",참석하다
"A foundation, a base",토대
"Solution, settlement",해결
Happiness,행복
To go on foot or walk,걸어가다
Laborer,근로자
Now or well or let me see,글쎄
Life,목숨
Department store,백화점
"To change, vary",변화하다
A bottle,병
Get/go out of here,빠져나가다
To say hello,안녕하다
"Public opinion, public sentiment towards sth",여론
"Clothes, garments",의복
Gymnastics,체조
"To depart, leave",출발하다
"Down to earth, Realistic",현실적
Subject of conversation,화제
To become decided,결정되다
Kitten,고양이
Attack,공격
Prices of products,물가
Democracy,민주주의
"uneasiness, anxiety",불안
"To be important, valuable",소중하다
"reserve, surplus",여유
"A question, a doubt",의문
Middle school,중학교
Kilometer,킬로미터
"Waves, billows",파도
"gray, ash color",흰색
Singer,가수
"Only one, alone",단
Broadcasting station,방송국
"shine, glitter",빛나다
"To be in hiding, to hide oneself",숨다
"To be printed,recorded; to be loaded onto a truck (luggage)",실리다
"pressure, stress",압력
Deposit money,예금
"To expect, anticipate",예상되다
Admission into school,입학
"securities, document,deed",증권
Immediately after,직후
"vehicles, cars",차량
Child birth,출산
"bite, put in the mouth",물다
A developed country,선진국
Medicine,약
"In no time, quickly",어느새
A trial,재판
"Over there, in that direction",저쪽
A disciple,제자
A window,창문
A second,초
Cheese,치즈
"Recovery, recuperation",회복
A zone or district,구역
"Confrontation, opposition",대응
Be opposed to,반대하다
"Display, exhibit",발휘하다
Consumption,소비
The heart,심장
Oh my god!,아이고
Quietly,조용히
Small and medium enterprises,중소기업
"Directly, immediately",직접적
"Truth, sincerity",진실
"The writer, author",필자
"Cooperation, cooperate with",협력
Gas,가스
A class or social stratum,계층
A hole,구멍
"Charge, undertaking",담당
Cartoons,만화
"support, feed",먹이다
"disregard, ignore ; to be defiant and fail to observe",무시하다
"To report, inform",보도하다
"(1) softly, lightly, just a little (2) furtively, stealthily",살짝
To remember,생각나다
Milk,우유
pulling/drawing up,인상
Cold,차갑다
"thoroughness, cleanliness",철저하다
"A fetus, an unborn child",태아
Observe or view or watch,관찰하다
"In vain or useless or fruitless, for a stupid reason",괜히
"To put on or wear, to wear (a ring)",끼다
The wings,날개
Fellow,녀석
The glitter of one’s eyes,눈빛
A public apt complex,단지
Inside the water,물속
Democracy,민주
To succeed,성공하다
A pine tree,소나무
Here and there,여기저기
"beauty, belle",여인
"manage, administer",운영하다
"To evaluate, estimate, judge",평가하다
"A marker, indication",표
Necessity,필요성
Hide or conceal,감추다
Stay overnight,머무르다
"A region, part",부위
"empty, vacate",비우다
"To found, establish, create",설치하다
November,십일월
"Wrap in, bundle",싸다
"And, both together",아울러
"Directions, orders",지시
"To form, make, take shape",형성하다
Brothers and sisters,형제
"Splendor, magnificence of a display, a look",화려하다
1) mirror 2) a pattern or model or exemplar,거울
"Add a thing, append",덧붙이다
Several,몇몇
Weapon,무기
International,세계적
Safety,안전
An onion,양파
"Indisposition, abnormal",이상
"A kind, a sort, a species",일종
"A situation,circumstances",처지
"Photographing, taking pictures/films",촬영
"Burn, blaze (firewood)",타다
"To twist, wind",틀다
"The situation, the state of things (esp. financial)",형편
Eggplant,가지
Close,감다
Red pepper,고추
Rules or regulations,규칙
"True nature,essence",본질
Shine,비치다
Bread,빵
"Slowly, little by little",서서히
"A teacher,master",스승
Social position,신분
To be enforced,실시되다
Probably,아마도
The inner room,안방
"To be ill, sick with sth",앓다
Yesterday,어제
"Only, merely, solely",오직
To be dangerous,위험하다
Self-confidence,자신
For a little while,잠시
To graduate,졸업하다
"evidence,proof",증거
"A focus, a focal point",초점
To be included in,포함되다
A tiger,호랑이
Strengthen,강화하다
Fear or dread,공포
1) Authority or power 2) dignity or prestige,권위
"Less, incompletely",덜
"Postpone ; (2) to guess, infer and make an educated guess",미루다
"originally,primarily",본래
Kitchen,부엌
Tax,세금
The actual situation,실정
Nutrition,영양
"The flesh, the body",육체
Entrance,입구
"extremely, to the utmost",잔뜩
The positive,적극
At least,최소한
"Stretch, extend away",펼쳐지다
To experience or go through,경험하다
That person or he or him / she or her,그이
Overflow,넘치다
"Miss, let slip",놓치다
The atmosphere,대기
Independence,독립
Inside one’s head,머릿속
The north direction,북쪽
"To be uneasy, anxious",불안하다
Beef,쇠고기
"Violation, infringement",위반
Card,카드
A lifetime,평생
To be applied/applicable under,해당하다
"The leaders (cadre, exec, executive, management)",간부
An idea or notion,관념
Very much or greatly,굉장히
Word,단어
"To cover, veil",덮다
To help,도와주다
"introduction, invitation",도입
Drive ; to chase or urge on,몰다
Actor,배우
"(1) Shed, throw light on (2) to reflect in the mirror",비추다
"shoes, footwear",신발
"An egg, spawn (fish)",알
"To go before, precede",앞서다
"A postulate, a given condition",여건
Since a long time before,오래전
Qualification,자격
"control, regulation",통제
A staircase or a set of stairs,계단
Spicy cabbage,김치
Nod,끄덕이다
"To be unfamiliar with, to be a stranger to ( a person)",낯설다
Height (noun),높이
Resemble,닮다
Deep in one’s heart,마음속
Be just as good as,못지않다
"Reflect, be reflected",반영하다
A bone,뼈
"To grow,be brought up",성장하다
"Belong to, attached to",소속
"Connect, attach",연결되다
"trade,business",장사
"manufacture,production",제작
"limits,bounds",제한
to kick,차다
"Propulsion, drive",추진
To be drunk,취하다
A bean,콩
A breath,한숨
"Part from, part company with",헤어지다
Purchase or buying,구입하다
To fly,날다
"Beyond, on the other side",너머
"just, a little. 여간 ~지 않다 means very very ~다",여간
"planning, making arrangements ; provisions, preparations",마련
"flesh,muscle",살
A captain,선장
Sugar,설탕
To be pure,순수하다
Style,스타일
Point in time,시점
Be inexpensive,싸다
"An intention, a purpose",의사
Concentration,집중
Code,코드
"An important affair, a serious matter",큰일
A lie or falsehood,거짓말
"Considerable, grand",대단하다
Extremely,대단히
Face to face,마주
A worldview,세계관
"Wholly, entirely",온통
"To depend on, rely on",의존하다
In detail,자세히
Lunch,점심
Exactly,정확히
"Be exhausted, fatigued",지치다
"A young man, a youth",청년
The tongue,혀
"To enlarge,magnify",확대하다
Ground pepper,후춧가루
To construct or erect,건설하다
Competitiveness,경쟁력
"Just, exactly",마침
"confidence,trust",신용
"Connection, communication",연락
The whole body,온몸
Feeling of attachment,정
Mental,정신적
Symptoms,증상
"Appear on stage, act, sing",출연하다
A knife,칼
All at once,한꺼번에
Compulsion or coercion,강제
Go over or go across,건너다
Wake up from sleep,깨다
Fishing,낚시
To get near to,다가가다
"letters,character",문자
to Stain,묻다
"To be begun, to have started",비롯되다
"To be sad,sorrowful",슬프다
Bride,신부
"To look, appear, think of sth as",여겨지다
"Cuttlefish, squid",오징어
"A rate, a fare",요금
"Pocket money, money for expenses",용돈
Put first in importance,위주
"A beverage, a drink",음료
A chair,의자
An electron,전자
To be transmitted,전해지다
"To exchange, convert, change",전환
"A boundary,situation,state",지경
"Progress, advance",진행
Camera,카메라
"An ache, pain",통증
"To be convenient, handy",편리하다
"A river, watercourse",하천
"Cash, ready funds, not a credit card",현금
Chemistry,화학
"Be lively, sprightly",활발하다
Pile up or stack up or heap up,가리다
Coarse (texture) or wild (behavior) or (rain and wind) rough or wild,거칠다
Even though or nevertheless,그나마
Skin or nutshell,껍질
The south part,남부
"An order,command",명령
"secretly,quietly",몰래
Unconditional,무조건
Squad leader,반장
"neighborhood,vicinity",부근
A choice,선택
Historian,역사가
Researcher,연구자
"A performer, an actor",연기자
"Be tiny,small",조그맣다
"A trunk, stem, stalk",줄기
"To find out, discover",찾아내다
Saturday,토요일
a policeman,경찰관
1) advise or persuade 2) recommend,권하다
Theater or playhouse,극장
The end,끝내
A big gate,대문
"Besides, moreover",더욱이
A separate way,별도
A tragedy,비극
"skill,ability",솜씨
The city,시내
"joy,delight",신
In the room,실내
To pour . 붓다,쏟다
"Connect, attach",연결하다
Diplomacy,외교
Pocket,주머니
Contract,계약
The department/section head,과장
Drama or play,극
"In a line, row",나란히
Tea room,다방
"Be shameful,disgraceful",부끄럽다
"success,achievement",성공
Accomplishment,수행하다
"application,request",신청
"really,indeed",실로
Pain,아픔
To listen and comprehend,알아듣다
"Some, a little",약간
"Smoke, fume",연기
"movement,migration,drift",이동
Cause and occasion,인연
"A party, a troupe; a row, a line",일행
"Instruction, guidance",지도
An intellectual,지식인
"To be serious, earnest",진지하다
"to count, reckon, calculate",치다
"Respiration, breath",호흡
"Shake, swing,rock,tremble",흔들리다
Temperature,기온
To fly away,날아가다
Become a lot,많아지다
"A rock, a crag",바위
Habit,버릇
To criticize,비판하다
"deep-red,crimson",빨갛다
To become erected,세워지다
Bar of some kind,술집
to breathe,쉬다
After a long time,오랜만
"On purpose, intentionally",일부러
"entirely,generally",전체적
Half,절반
"approach,get near",접근하다
To be peaceful,편안하다
"certainly,for sure",확실히
Scatter about,흩어지다
1) sharpen (a blade) 2) rub or chafe 3) make juice in a mixer,갈다
Interchange (cultural) ; alternating current (electrical),교류
Writing,글쓰기
Climate or weather,기후
"All along, the entire time",내내
Big enterprise,대기업
Cope or correspond to,대응하다
"Tool, instrument",도구
"fascination,charm, bewitchery",매력
Hundreds of,백
"guarantee,insurance",보험
Be enviable,부럽다
Head of a department,부장
"To be mixed,blended",섞이다
A cow,소
A mental state,심리
"one’s heart, one’s feelings",심정
"(1) To shoot (2) to sting, bite (an insect, animal)",쏘다
Old or married lady,아줌마
To be located,위치하다
"Erect, build",이룩하다
Two days,이틀
To deliver,전달하다
Really,정말로
To dance,추다
"To light, turn on, kindle",켜다
Corner,코너
"To act, behave",행동하다
"A criminal, penal case",형사
"A drama, a play",희곡
Agitate or stir up the emotions,감동
Airport,공항
Sb in the military,군인
Firmly or admanantly,굳이
1) shade 2)parental prodection,그늘
Be urgent or pressing or iminent,급하다
An egg,달걀
Pop culture,대중문화
To be planned and arranged,마련되다
"A wooden floor, floor, flooring",마루
Weight,무게
Moisture,물기
"A result,grade",성적
"frankly,candidly",솔직히
"To try,attempt",시도하다
"No, that’s not the case",아니요
"propriety,decorum",예절
"Impression, imprint",인상
Internet,인터넷
To apply (sth to sth else),적용하다
Traditional,전통적
"To take part in, join",참가하다
A skirt,치마
Relatives,친척
Specify,특정하다
Hotel,호텔
Boundary,경계
A formula or formality,공식
So much or to that extent,그다지
Tension,긴장
Cut or trim,깎다
Bridge,다리
Stay overnight,머물다
Honor,명예
"A seaman, sailor",뱃사람
Buddha,부처
Lower one’s head,숙이다
"Mis, young lady",아가씨
Temperature,온도
Forehead,이마
Absolutely,절대로
A roof,지붕
"To desire, aspire, hence to apply for [e.g. a job] or volunteer for sth",지원하다
Real,진짜
"Be dark, dense",짙다
Outside the window,창밖
Cleaning,청소
Silence,침묵
Text,텍스트
"Front, surface, exterior",표면
The rays of the sun,햇살
Objective,객관적
To worry or be anxious,걱정하다
Economical,경제적
A cloud or the clouds,구름
1) a corner 2) an out of the way place,구석
Put out or extinguish,끄다
Take charge of,담당하다
"Unclothe, undress",벗기다
"A detachment, squad",부대
Fire light,불빛
Circle,서클
TV audience member,시청자
"substance,essence",실체
"To be strict, serious",엄격하다
Perfect,완벽하다
To be perfect and faultless,완전하다
A Buddhist temple,절
waiter/waitress,종업원
"An increase,augmentation",증가
Going on stage,출연
An educational term,학기
For quite a while,한동안
The latter term/period,후기
Season,계절
To touch,만지다
A pastor,목사
"A needle, pin",바늘
"Endure, tolerate",버티다
"A department, a part",부
Distribution,분포하다
Specific gravity,비중
Income,수입
Idea,아이디어
Both sides,양쪽
"For example, such as",예컨대
"Stadium, playground",운동장
"unfolding,development,expansion",전개
"contact,touch",접촉
Luggage ; what is on a person,짐
Grass (cut the ~),풀
"Every year, each year",해마다
one’s junior,후배
"holidays,vacation",휴가
The business market’s state,경기
A valley or gorge,계곡
A member of the national Assembly,국회의원
Quarrel,다투다
(도저히 + negative (지 않다/없다))Absolutely impossible ; by all means,도저히
"Stretch out, extend beyond",뻗다
"To live, make a living",생활하다
"frankness,candidness",솔직하다
To be heart-breaking,안타깝다
To be in the lead/ at the head,앞장서다
"To ask for, to request",요청하다
"Be early, premature",이르다
"Agree with, to be in accord with",일치하다
"To make a sign,gesticulate",젓다
Political rights,정치권
"A virgin, a young maiden",처녀
a festival,축제
"Break, burst,explode",터뜨리다
"Learning, education",학습
To be developed or exploited,개발되다
"High, aloft (adverb)",높이
Of course,당연히
"Provide for, prepare onself for",대비하다
"continuously, without pause",마구
A meeting,만남
Media,미디어
A corridor,복도
The prime minister,수상
"Fall, collapse",쓰러지다
"An image [picture], reflection (moving pictures, movies)",영상
"A soul, a spirit",영혼
The driver (of a taxi),운전사
To be proud,자랑스럽다
For a little while,잠깐
To be appropriate,적당하다
To be applied,적용되다
One week,주
Continuous,지속적
"Advance, proceed",진행하다
"distinction,differentiation",차별
Everywhere,곳곳
A division or section,구분
Forbidden or prohibitted,금지
From A to B,내지
Come running,달려오다
"rage,anger",분노
A comparison,비교
What is called for,소위
Graze past,스치다
Historical,역사적
Train,열차
"Recently, nowadays",요즈음
"uncommon,exceptional",유난히
"A duty, an obligation",의무
To lose,잃어버리다
For a little while,잠깐
Fall asleep,잠들다
"Formality, due form",정식
"To be quiet,still",조용하다
"At once,immediately",즉시
"The best, one’s best",최선
A tower,탑
Korean traditional clothing,한복
"To be active, lead an active life",활동하다
Construction or building or erection,건축
To be cute,귀엽다
Feel anxious,답답하다
Be confused,당황하다
Horse,말
Flour,밀가루
Outside,바깥
Pants,바지
"Open, wide",벌리다
Report,보고서
Keep in one’s custody,보관하다
"Collide with, bump against",부딪치다
"washing,laundry",빨래
"damage,injure",상하다
"establisment,institution",설치
Food oil,식용유
"To dislike, be reluctant (to do)",싫어하다
Types of industry,업종
"Production, presentation",연출
Table,테이블
"Get cleared out, open up",트이다
"To be very tired, exhausted",피곤하다
Korean (language),한국어
"Korean character, derived from chinese",한자
Fear or fright,겁
A government official,관리
Internationalization,국제화
Muscles,근육
To be spread or overspread,깔리다
"beforehand,in advance",사전
Oxygen,산소
Petroleum,석유
"To shout, yell",소리치다
City,시
Fresh,신선하다
Glasses,안경
To make a promise,약속하다
"Combination, federacy, union",연합
"Personality, character",인격
A chapter in a book,장
The enemy,적
To be careful,조심하다
"Quality, character",질
"stab,thrust",찌르다
Person responsible,책임자
"all,entire,whole",총
Hobby,취미
"A marker, indication",표
"The name of an article, a list of articles",품목
To be magnified,확대되다
Living room,거실
A rice field,논
"Be hot, heated",덥다
Ignorant,바보
Classified by,별
"worth,result",보람
"reaction,side effect",부작용
"Criticism, reproach",비난
"A statement,declaration",신고
Baseball,야구
"To take some measures, to manage somehow",어떡하다
"Expectation, anticipation; forecast, preconception, prenotion",예상
"Menace, threat, intimidation",위협
A tooth,이
"An ideal, a goal",이상
Sink in water,잠기다
"Give and receive, exchange",주고받다
Fist,주먹
"support,backing",지지
"To shake off, brush up",털다
Warning,경고
Open to the public,공개하다
A subject or a lesson,과목
An enjoyable sight or spectacle,구경
That person (respectful),그분
Duty or service or work,근무
"Controversy, argument",논쟁
"Escape, flee",달아나다
"bind,tie",묶다
"A declaration,statement",성명
Sauce,소스
Tens of sth,수십
"Put on, wear",신다
Korean (language),우리말
Confucianism,유교
"Bedding, bed clothes",이불
"Reason, reasoning",이성
"Everyday, usual, ordinary",일상
"self-acting, self-moving, automatic",자동
The future,장래
"To be unfolded,spread out",전개되다
"regret,be sorry for",죄송하다
"importance,gravity",중요성
"To be big, large",크다
Talent,탤런트
Especially,특별히
The quality of the article ( but not the article itself),품질
"An interview, a meeting",회견
To steal,훔치다
"traces,signs,evidences",흔적
A classic in literature,고전
Scientifically,과학적
To divide or to classify,구분하다
Interjection: “yeh or that’s right”,그럼
Brains,뇌
Envelope,봉투
Obviousness,분명
An editorial,사설
A victory,승리
Left and right,좌우
"one’s master, ones employer",주
Set (the sun),지다
Memory,추억
Anyways,하여튼
"Indiscriminately, at random",함부로
"fragrance,aroma,perfume",향기
"The actual place, the very spot",현지
Thin or fine or slender,가늘다
Private or personal,개인적
The outer surface,겉
Bend or stoop,굽히다
Work or labor,근무하다
With a surprise,깜짝
Widen,넓히다
"1) Versus 2)a pair, counterpart",대
Every year,매년
1) Birth 2) development,발생
Three,셋
Korean sake,소주
The palm,손바닥
A passenger car,승용차
"To be awkward, shy with words, speechless",어색하다
"Put on, place, lay, set",얹다
Medical science,의학
"A merit,strong point",장점
"suitable,proper",적당히
"Pick up, gather",줍다
An advance,진출
Creation,창조
Kilogram,킬로그램
"Plain, average",평범하다
Program,프로
"Public information, public relations",홍보
"A check,confirmation",확인
Powder or flour; meal,가루
Take or bring out of the water or 2) rescue a person from danger,건지다
To break,깨지다
Look out for,내다보다
A large quantity,대량
"Be right, approppriate",마땅하다
Straighten,바로잡다
Be nailed in,박히다
Just now,방금
Raw fish,생선
Sorrow,슬픔
"To be indifferent, casually",아무렇지 않다
To be used,이용되다
The second day after,이튿날
"Temporary, special",임시
"exclusion,removal",제거하다
Diminish,줄다
"A district,region",지구
To erase,지우다
Sesame oil,참기름
"A tub, a cask",통
"characteristic,distinct,unique",특수
Pan,팬
"combine,unite",합치다
Curiousity,호기심
A side street or alley,골목
Strength or might (the strength you feel you have on that particular day),기운
Planning,기획
"Almost, nearly, about",대충
Stand opposite,맞서다
To be insufficient,모자라다
"Drive,hammer in",박다
Original nature or character,본성
Imagine,상상하다
Productive capacity,생산력
To be safe,안전하다
Studying abroad,유학
"Inform, report, tell",이르다
"equipment,fittings",장비
Politician,정치인
Political,정치적
Graduation,졸업
"punishment,penalty",처벌
Cafe (place to drink coffee),카페
Complex,콤플렉스
An examination or investigation or study,검토
Next,그다음
Techniques,기법
Boil or simmer,끓다
Come flying,날아오다
A joke,농담
Chicken,닭
"Charge, duty",담임
On the way,도중
Beer,맥주
Sand,모래
Survive,살아남다
Murder,살인
"naure,disposition",성질
"A signal,signaling",신호
Father (respectful word),아버님
"To be suspicious, to doubt",의심하다
A person,인
Follow one after another,잇따르다
To be proud,자랑하다
Keyboard,자판
Application,적용
the former period/term,전기
"At the middle stage (of a game or contest, or otherwise)",중반
"To direct, instruct",지시하다
"To start (a journey,trip)",출발
"To permit, approve, grant, allow",허용하다
Teaching or an instruction,가르침
Each country,각국
Textbook,교과서
Draw,그려지다
"Untiringly, ceaselessly",꾸준히
Year,년도
A great number,다수
Indebtedness,덕분
Be unreasonable,무리
A question,물음
"pray,wish,ask",빌다
Swimming,수영
A priest,스님
"Go bad, rot",썩다
Mother (respectful word),어머님
"Be extraordinary, extravagant ; to misdirect somebody`s attention",엉뚱하다
Spouse (term of affection),여보
To forget,잊어버리다
"The front, the facade",정면
Sculpture,조각
"Burn, commit to flames",태우다
"Interpretation, a comment",해석
Choose or select,가리다
The foundation of a country,개국
To calculate,계산하다
The origin or root or source,근원
A train,기차
Soak in water,담그다
As you wish,마음대로
Daughter-in-law,며느리
Belief,믿음
Discovery,발견
"report,information",보고
Ask sb a favor,부탁하다
"A user,consumer,employer",사용자
Socialism,사회주의
To be established,설치되다
The Metropolitan area,수도권
Dinner table,식탁
To fail,실패하다
To be eternal,영원하다
"accidentally,by chance",우연히
A stimulus,자극
"To be determined, settled",정해지다
"Feel, examine",짚다
"General overseeing, presiding over",총리
"Praide, admiration",칭찬
"Solid, compact, firm",튼튼하다
"Sunshine, sunlight",햇빛
Park,공원
Affirmation or admission,긍정적
Discussion,논의하다
Lending,대출
"Virtue, morality",덕
Dust,먼지
The beach,바닷가
"Give, offer",바치다
To be contrary to,반하다
Be announced,발표되다
"Be uncertain,irregular",부정하다
"rouse,stir up",불러일으키다
Company employee,사원
Possessor,소유자
To chew,씹다
In any case,아무튼
"Must not, should not",안되다
"A sum, an amount",액수
"I don’t know why, there is no reason for it",왠지
